lat,lon
40.7605248,-73.9769049
40.7467979,-73.9860937
40.7590174,-73.9794387
40.7595225,-73.98376440000001
40.7671457,-73.98339779999999
40.7626619,-73.97699159999999
40.7599326,-73.987599
40.7484924,-73.9735769
40.7167155,-73.9895421
40.7556559,-73.9783806
40.7502696,-73.97157899999999
40.7523862,-73.9844518
40.7494254,-73.9958004
40.7635371,-73.9818031
40.742572,-73.9807695
40.6922,-73.991345
40.7506704,-73.9768758
40.7450306,-73.9826458
40.7549515,-73.98179139999999
40.7097996,-74.0144351
40.7537355,-73.9741904
40.7642394,-73.9588577
40.7877132,-73.9535207
40.7542,-73.9772
40.7147808,-73.9442153
40.7080549,-74.0141237
40.6678483,-73.9810846
40.7949431,-73.9711137
40.638293,-73.9982003
40.6383982,-73.9485114
40.6591866,-73.9816609
40.7140315,-74.0089543
40.7579168,-73.9908076
40.7521052,-73.98889609999999
40.8029379,-73.95672600000002
40.7925058,-73.96819789999999
40.7459326,-73.9336869
40.8046572,-73.9369985
40.71981299999999,-74.002121
40.709975,-74.007615
40.8624288,-73.9255386
40.7399666,-73.9850792
40.75411649999999,-73.99180609999999
40.712688,-73.90686199999999
40.8137409,-73.95627630000001
40.6703444,-73.9583001
40.805796,-73.9401109
40.8018106,-73.94865949999999
40.66556000000001,-73.9566272
40.7106775,-74.0088633
40.71001529999999,-74.0101766
40.71106899999999,-74.0064487
40.7037808,-74.0118669
40.7986071,-73.9527927
40.7487746,-73.9916408
40.7461029,-73.97936349999999
40.759783,-73.965243
40.7606342,-73.994492
40.7514378,-73.9893426
40.7960845,-73.9350923
