lat,lon
40.7128423,-74.0077398
40.75211900000001,-73.9729739
40.7343216,-73.9903267
40.7988608,-73.9691502
40.7399469,-73.979586
40.7154643,-74.00557189999999
40.7462612,-73.9788514
40.7614333,-73.9844337
40.7784488,-73.9822511
40.7603737,-73.979303
40.80485789999999,-73.9657081
40.7626182,-73.9835025
40.72220069999999,-73.9834584
40.8046374,-73.93746
40.75509479999999,-73.9799434
40.7540623,-73.9865095
40.7221049,-73.9969718
40.7712201,-73.9824428
40.7599846,-73.96751580000002
40.7333223,-73.9868675
40.8631512,-73.9255333
40.7508384,-73.9872737
40.7630888,-73.9629082
40.81504930000001,-73.9581163
40.7643755,-73.9777127
40.8217697,-73.95422719999999
40.75200359999999,-73.9702365
40.76330189999999,-73.97764289999999
40.70628809999999,-74.0131854
40.7913539,-73.94461919999999
40.7642512,-73.9844203
40.7486672,-73.9878988
40.76552299999999,-73.9634529
40.79336600000001,-73.9723597
40.7208195,-74.0008613
40.7833943,-73.95033850000002
40.7574811,-73.98992369999999
40.7673674,-73.9826504
40.7562937,-73.9908915
40.7571875,-73.971508
40.7451912,-73.9914616
40.7576022,-73.9697027
40.8014637,-73.96753009999999
40.7585186,-73.9625004
40.7779795,-73.9564427
40.751744,-73.9934821
40.7567896,-73.99722349999999
40.7417139,-73.99708
40.7189915,-73.9887705
40.7606449,-73.987622
40.7472366,-73.9929702
40.7075052,-74.00448449999999
40.7115663,-74.0114261
40.7679642,-73.9554977
40.7167756,-74.01509639999999
40.70468839999999,-74.0078089
40.7590847,-73.9740727
40.77346379999999,-73.954615
40.7769566,-73.9490685
40.7609212,-73.97264849999999
