lat,lon
40.7685526,-73.9831866
40.75471659999999,-73.98485819999999
40.7449592,-73.99529129999999
40.7593039,-73.9663868
40.7939667,-73.9671163
40.7346445,-73.989762
40.7238246,-73.99231019999999
40.71553410000001,-74.0120518
40.7796707,-73.9529499
40.8076461,-73.9461771
40.67489279999999,-73.98878789999999
40.7526155,-73.9996513
40.71614090000001,-73.9597096
40.6864068,-73.9783928
40.8257027,-73.9737971
40.7609624,-74.0235484
40.7974205,-73.6707047
40.9616828,-73.856516
40.6548421,-74.0119062
40.9923702,-73.6754376
40.78902799999999,-73.5346026
40.9140564,-74.0572656
41.0285208,-73.75875309999999
