lon,lat
-73.82363054480984,40.79305274940367
-73.82145434874788,40.7935557514701
-73.84365962060478,40.790772402244336
-73.84271786850505,40.79074250275315
-73.81262850381083,40.79518160054219
-73.81173608352772,40.795107719466
-73.84989585912122,40.79072061551567
-73.84751009275205,40.79092287779728
-73.80866004722505,40.82289465445179
-73.80848841738,40.82224064823988
-73.81815019599246,40.7943160211977
-73.81617602159042,40.7947736587098
-73.8417948327836,40.79071952866361
-73.8408602868906,40.7906942437299
-73.84549715806428,40.79083124221272
-73.84458076911893,40.79080235588370
-73.83900524084945,40.790617321854455
-73.83810491979638,40.7905804548791
-73.84271786850505,40.790742502753154
-73.8417948327836,40.7907195286636
-73.81354008030215,40.795261728758604
-73.81262850381083,40.7951816005421
-73.80866004722505,40.82289465445179
-73.80885700756629,40.8238696623535
-73.80890068669721,40.8240688749069
-73.83992306201104,40.790649901705606
-73.83900524084945,40.79061732185445
-73.914209305276,40.55794206086631
-73.91463289777792,40.557908505143
-73.81617602159042,40.79477365870982
-73.81489879698746,40.79506099980546
-73.81388809801693,40.795292322981
-73.84458076911893,40.790802355883706
-73.84365962060478,40.79077240224433
-73.8408602868906,40.79069424372995
-73.83992306201104,40.79064990170560
-73.81388809801693,40.7952923229817
-73.81354008030215,40.79526172875860
-73.84751009275205,40.790922877797286
-73.84594458796035,40.790846042424455
-73.84549715806428,40.7908312422127
-73.91463289777792,40.5579085051433
-73.91507080202105,40.55796906616371
-73.91550619050486,40.558040213895275
-73.91593840195945,40.55812184820201
-73.91636680020129,40.5582138254181
-73.82145434874788,40.79355575147015
-73.81815019599246,40.794316021197
-73.81072238491926,40.82323685684243
-73.81078696840703,40.823252077908144
-73.81085352985778,40.82326194139499
-73.81092090337185,40.82326627434524
-73.8113017860987,40.82311703192272
-73.81226902749883,40.82271948247452
