lon,lat
-73.95782734482442,40.73129875217926
-73.95794307154456,40.7320091608740
-73.95840811600557,40.7348441471048
-73.95852418830235,40.7355524205325
-73.95694149658824,40.72706052271143
-73.95717234112135,40.7273175873277
-73.95852418830235,40.73555242053253
-73.95863540338728,40.7362129288974
-74.0029339530185,40.71715527946103
-74.0035348064733,40.717446952647
-74.00643194946858,40.719081993077495
-74.00693633810494,40.7191266555946
-74.00280679175283,40.717092308947386
-74.0029339530185,40.7171552794610
-74.0086993737286,40.71929607536445
-74.01029353356851,40.71945098424493
-73.9577109092341,40.73058907278319
-73.95782734482442,40.7312987521792
-74.00693633810494,40.71912665559464
-74.0086993737286,40.7192960753644
-74.00532369793707,40.7182733463782
-74.00659361300544,40.71886217818358
-73.95717234112135,40.72731758732776
-73.95724294129755,40.7277538288395
-74.00659361300544,40.718862178183585
-74.00685643441714,40.71899216063322
-74.00693633810494,40.7191266555946
-73.95718411371529,40.72706854674311
-73.95717234112135,40.7273175873277
-73.95805939541417,40.73271596710893
-73.95817589765223,40.7334256816489
-73.95757201182647,40.725097592814606
-73.95749345200497,40.72552342391727
-73.95817589765223,40.73342568164897
-73.95829230705532,40.7341349734650
-73.95747834247767,40.72916950647684
-73.9575942283495,40.7298787447809
-73.95829230705532,40.73413497346504
-73.95840811600557,40.734844147104
-74.00207771737762,40.7167308955763
-74.00280679175283,40.71709230894738
-73.95735971330701,40.72845875420495
-73.95747834247767,40.7291695064768
-74.0035348064733,40.7174469526471
-74.00415339140889,40.7177395096050
-73.95724294129755,40.72775382883955
-73.95735971330701,40.7284587542049
-73.95763356160998,40.72475936481193
-73.95757201182647,40.72509759281460
-73.95771989205198,40.72428495685697
-73.95763356160998,40.7247593648119
-73.95794307154456,40.73200916087404
-73.95805939541417,40.7327159671089
-73.95749345200497,40.725523423917274
-73.95735338908572,40.7262996646611
-73.9575942283495,40.72987874478092
-73.9577109092341,40.7305890727831
-74.00415339140889,40.71773950960501
-74.00532369793707,40.718273346378
-73.95735338908572,40.72629966466114
-73.95718411371529,40.7270685467431
